id	title	description	link	image_link	availability	price	brand	condition	google_product_category	product_type
prod_001	COLCHON LIVING MARRON	🛏️ Colchón línea Living. Diseño moderno para tu hogar.	https://pets-store-arg.com/product.html?id=prod_001	https://pets-store-arg.com/assets/images/products/prod_001/cover.jpg	in_stock	59500 ARS	Huella	new	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Beds	COLCHONETAS Y MOISES
prod_009	Anteojos para tu Mascota	Dale a tu mascota un look único y lleno de estilo.	https://pets-store-arg.com/product.html?id=prod_009	https://pets-store-arg.com/assets/images/products/prod_009/cover.jpg	in_stock	6800 ARS	Pets Store	new	Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel	ACCESORIOS
prod_106	Shampoo Maximo 250 Cm3	Shampoo para mascotas. Limpieza suave y pelaje brillante.	https://pets-store-arg.com/product.html?id=prod_106	https://pets-store-arg.com/assets/images/products/prod_106/cover.jpg	in_stock	10800 ARS	OSSPRET	new	Animals & Pet Supplies > Pet Supplies	higiene-cuidado
prod_134	Piedras Absorsol	Piedras sanitarias para gatos. Alta absorción y control de olores.	https://pets-store-arg.com/product.html?id=prod_134	https://pets-store-arg.com/assets/images/products/prod_134/cover.jpg	in_stock	2700 ARS	ABSORSOL	new	Animals & Pet Supplies > Pet Supplies	higiene-cuidado
prod_139	Zootec Piedras Aglutinantes Lavanda	Piedras sanitarias para gatos. Alta absorción y control de olores.	https://pets-store-arg.com/product.html?id=prod_139	https://pets-store-arg.com/assets/images/products/prod_139/cover.jpg	in_stock	10620 ARS	ZOOTEC	new	Animals & Pet Supplies > Pet Supplies	higiene-cuidado
prod_140	Zootec Piedras Naturales	Piedras sanitarias para gatos. Alta absorción y control de olores.	https://pets-store-arg.com/product.html?id=prod_140	https://pets-store-arg.com/assets/images/products/prod_140/cover.jpg	in_stock	4050 ARS	ZOOTEC	new	Animals & Pet Supplies > Pet Supplies	higiene-cuidado
prod_145	COLCHON FANTASIA ESPUMA	🛏️ Colchón de espuma para mascotas. Soporte óptimo y comodidad.	https://pets-store-arg.com/product.html?id=prod_145	https://pets-store-arg.com/assets/images/products/prod_145/cover.jpg	in_stock	20000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_146	COLCHONETA FANTASIA PLUSH	🛏️ Colchón de espuma para mascotas. Soporte óptimo y comodidad.	https://pets-store-arg.com/product.html?id=prod_146	https://pets-store-arg.com/assets/images/products/prod_146/cover.jpg	in_stock	17850 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_148	Moises Tunel Economico	Moisés acogedor para mascotas. Bordes elevados para mayor seguridad.	https://pets-store-arg.com/product.html?id=prod_148	https://pets-store-arg.com/assets/images/products/prod_148/cover.jpg	in_stock	12155 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_149	MOISES IGLU PREMIUN	🏠 Moisés tipo iglú para mascotas. Refugio cálido y acogedor.	https://pets-store-arg.com/product.html?id=prod_149	https://pets-store-arg.com/assets/images/products/prod_149/cover.jpg	in_stock	22100 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_151	COCHONETA ANTI-DESGARRO	🛏️ Colchoneta anti-desgarro. Resistente para mascotas activas.	https://pets-store-arg.com/product.html?id=prod_151	https://pets-store-arg.com/assets/images/products/prod_151/cover.jpg	in_stock	18700 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_152	Moises Economico	Moisés acogedor para mascotas. Bordes elevados para mayor seguridad.	https://pets-store-arg.com/product.html?id=prod_152	https://pets-store-arg.com/assets/images/products/prod_152/cover.jpg	in_stock	9350 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_154	SOFT JEAN LUNARES	🛏️ Moisés premium para mascotas. Diseño elegante y máximo confort.	https://pets-store-arg.com/product.html?id=prod_154	https://pets-store-arg.com/assets/images/products/prod_154/cover.jpg	in_stock	28900 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_156	Moises Lunares	Moisés acogedor para mascotas. Bordes elevados para mayor seguridad.	https://pets-store-arg.com/product.html?id=prod_156	https://pets-store-arg.com/assets/images/products/prod_156/cover.jpg	in_stock	15725 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_158	Moises Moño Premiun	Moisés acogedor para mascotas. Bordes elevados para mayor seguridad.	https://pets-store-arg.com/product.html?id=prod_158	https://pets-store-arg.com/assets/images/products/prod_158/cover.jpg	in_stock	17000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_160	Puff Unico Talle	Colchón cómodo para tu mascota. Descanso de calidad garantizado.	https://pets-store-arg.com/product.html?id=prod_160	https://pets-store-arg.com/assets/images/products/prod_160/cover.jpg	in_stock	23800 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_161	Puff Unico Talle Soff	Colchón cómodo para tu mascota. Descanso de calidad garantizado.	https://pets-store-arg.com/product.html?id=prod_161	https://pets-store-arg.com/assets/images/products/prod_161/cover.jpg	in_stock	29750 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_162	Almohadon Dona	Colchón cómodo para tu mascota. Descanso de calidad garantizado.	https://pets-store-arg.com/product.html?id=prod_162	https://pets-store-arg.com/assets/images/products/prod_162/cover.jpg	in_stock	9605 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_164	Bolso Fantasia	Bolso transportador para mascotas. Cómodo y seguro para viajes.	https://pets-store-arg.com/product.html?id=prod_164	https://pets-store-arg.com/assets/images/products/prod_164/cover.jpg	in_stock	17000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_166	BOLSO ANTI-DESGARRO PREMIUN	👜 Bolso transportador anti-desgarro premium. Resistente y seguro para viajes.	https://pets-store-arg.com/product.html?id=prod_166	https://pets-store-arg.com/assets/images/products/prod_166/cover.jpg	in_stock	34000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_168	Colchoneta Maletin Movil	Colchón cómodo para tu mascota. Descanso de calidad garantizado.	https://pets-store-arg.com/product.html?id=prod_168	https://pets-store-arg.com/assets/images/products/prod_168/cover.jpg	in_stock	34000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_169	Canasto Trasportador Fantasia	Bolso transportador para mascotas. Cómodo y seguro para viajes.	https://pets-store-arg.com/product.html?id=prod_169	https://pets-store-arg.com/assets/images/products/prod_169/cover.jpg	in_stock	42500 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_170	Casita Feliz	Casita acogedora para tu mascota. Su propio espacio de descanso.	https://pets-store-arg.com/product.html?id=prod_170	https://pets-store-arg.com/assets/images/products/prod_170/cover.jpg	in_stock	22100 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_174	MOISES NIDO AJUSTABLEE DE POLAR	🛏️ Moisés tipo nido. Bordes elevados que abrazan a tu mascota.	https://pets-store-arg.com/product.html?id=prod_174	https://pets-store-arg.com/assets/images/products/prod_174/cover.jpg	in_stock	17000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_175	ALMOHADON PREMIUM	🛏️ Moisés premium para mascotas. Diseño elegante y máximo confort.	https://pets-store-arg.com/product.html?id=prod_175	https://pets-store-arg.com/assets/images/products/prod_175/cover.jpg	in_stock	20400 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_176	Colchoneta Premiun Doble Lona 4 Patas	Colchón cómodo para tu mascota. Descanso de calidad garantizado.	https://pets-store-arg.com/product.html?id=prod_176	https://pets-store-arg.com/assets/images/products/prod_176/cover.jpg	in_stock	18700 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_177	MOISES NIDO CORDERITO 4 PATAS	🛏️ Moisés tipo nido. Bordes elevados que abrazan a tu mascota.	https://pets-store-arg.com/product.html?id=prod_177	https://pets-store-arg.com/assets/images/products/prod_177/cover.jpg	in_stock	17000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_178	COLCHONETA CORDERITO	🛏️ Colchoneta de polar suave. Calidez y confort en invierno.	https://pets-store-arg.com/product.html?id=prod_178	https://pets-store-arg.com/assets/images/products/prod_178/cover.jpg	in_stock	17000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_179	COLCHONETA PREMIUM	🛏️ Moisés premium para mascotas. Diseño elegante y máximo confort.	https://pets-store-arg.com/product.html?id=prod_179	https://pets-store-arg.com/assets/images/products/prod_179/cover.jpg	in_stock	14025 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_180	COLCHON POLAR	🛏️ Colchoneta de polar suave. Calidez y confort en invierno.	https://pets-store-arg.com/product.html?id=prod_180	https://pets-store-arg.com/assets/images/products/prod_180/cover.jpg	in_stock	17000 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	casa-descanso
prod_181	Rascado Tabla Carton Y Alfombra	🐕 Accesorio de calidad para tu mascota. Diseño funcional y duradero.	https://pets-store-arg.com/product.html?id=prod_181	https://pets-store-arg.com/assets/images/products/prod_181/cover.jpg	in_stock	7650 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	accesorios
prod_184	Rascador De Madera En 2 Posiciones	🐱 Rascador para gatos. Ayuda a mantener las uñas sanas y protege tus muebles.	https://pets-store-arg.com/product.html?id=prod_184	https://pets-store-arg.com/assets/images/products/prod_184/cover.jpg	in_stock	15300 ARS	Sin marca	new	Animals & Pet Supplies > Pet Supplies	accesorios
